Site Name,address,city,state,zip_code
MONMOUTH CNTY ROAD DEPT DIST #1,218 EAST RD,MIDDLETOWN,NJ,07728
LAKESIDE SHELL SERVICE STATION,110 CLARK ST,KEYPORT,NJ,07730
KEYPORT TRUCK & AUTO BODY,395 CLARK ST,KEYPORT,NJ,07721
BP SERVICE STATION,375 MIDDLE RD,HAZLET,NJ,07730
PORT MONMOUTH GULF SERVICE STATION #120209,412 RT 36,MIDDLETOWN,NJ,07758
SUNOCO SERVICE STATION #0485 1416 7724,343 MAIN ST,KEYPORT,NJ,07735
KEYPORT SHELL SERVICE STATION,93 RT 36,KEYPORT,NJ,07735
LUKOIL SERVICE STATION #57736,88 RT 36,KEYPORT,NJ,07735
SHELL SERVICE STATION #100146,1355 RT 36,HAZLET,NJ,07730
QUICK CHEK FOOD STORE #75,1170 RT 36,HAZLET,NJ,07730
DURHAM SCHOOL SERVICES,436 MATAWAN AVE,ABERDEEN,NJ,07721
LEHIGH GAS SERVICE STATION,2 RT 36,MIDDLETOWN,NJ,07734
JC FOREVER SERVICE STATION,44 RT 36,HAZLET,NJ,07730
SHELL SERVICE STATION #138389,9 RT 36,KEANSBURG,NJ,07734
MONMOUTH CNTY ROAD DEPT DIST #8,1621 UNION AVE,HAZLET,NJ,07730
DELTA SERVICE STATION,161 RT 36,WEST KEANSBURG,NJ,07734
KEYPORT AUTO SALES,76 BROAD ST,KEYPORT,NJ,07735
SUNOCO SERVICE STATION #0007 7255,210 RT 36,HAZLET,NJ,07734
AMOCO SERVICE STATION #741,390 RT 35,ABERDEEN,NJ,07721
AB FUEL,963 RT 36,HAZLET,NJ,07730
WOROCO INC SERVICE STATION,241 RT 36,HAZLET,NJ,07734
UNIVERSAL AUTOS,325 RT 36,HAZLET,NJ,07734
SPEEDWAY SERVICE STATION #03449,967 RT 36,UNION BEACH,NJ,07735
WAWA FOOD MARKET #976,204 RT 35,ABERDEEN,NJ,07735
US DEPT OF INTERIOR GATEWAY NATIONAL PARK RECREATIONAL AREA,VARIOUS STREETS ,MIDDLETOWN,NJ,07732
